id,artista,titulo,condicao,n_comps,mediana_brl,discogs_sug_brl,valor_mercado_brl,preco_loja_brl,confianca,tendencia_pct,aviso
2,Jorge Ben,A Tábua de Esmeralda,VG+,0,,,,,,,
1,Tim Maia,Racional Vol. 1,VG+,0,,,,,,,
